           100n,  1,         SM0603,     1740614,            ,            ,            ,C4
            10n,  7,         SM0603,     1301715,            ,            ,            ,C24, C11, C13, C19, C21, C22, C23
            10u,  2,         SM0603,     1886093,            ,            ,            ,C20, C12
            12n,  1,         SM0603,     1865534,            ,            ,            ,C2
            18p,  2,         SM0603,     1740595,            ,            ,            ,C8, C7
             1k,  8,         SM0603,     1469740,            ,            ,            ,R13, R3, R4, R6, R8, R9, R10, R11
            22n,  3,         SM0603,     1198381,            ,            ,            ,L5, L3, L4
           22nF,  1,         SM0603,      431941,            ,            ,            ,C10
           270p,  1,         SM0603,     1813438,            ,            ,            ,C3
            27n,  1,         SM0603,     1198382,            ,            ,            ,L1
            2u2,  1,         SM0603,     1108322,            ,            ,            ,C6
            3k3,  1,         SM0603,     1738911,            ,            ,            ,R2
            3k6,  1,         SM0603,     1652878,            ,            ,            ,R7
            3p3,  2,         SM0603,     1813416,            ,            ,            ,C17, C15
      4.9152MHz,  1,        HC49-4H,     1640864,            ,            ,            ,Y1
           470n,  1,         SM0603,     1833805,            ,            ,            ,C9
           470p,  1,         SM0603,     1520287,            ,            ,            ,C14
            5p1,  2,         SM0603,     1650771,            ,            ,            ,C18, C5
           6.2n,  1,         SM0402,     1748711,            ,            ,            ,L2
           680p,  1,         SM0603,     1520265,            ,            ,            ,C1
            8p2,  1,         SM0603,     1828906,            ,            ,            ,C16
            910,  1,         SM0603,     1469740,            ,            ,            ,R1
        ADF7012,  1,        TSSOP24,     1346367,            ,            ,            ,IC1
        CONN_10,  1,         SIL-10,     1022261,            ,            ,            ,P1
         CONN_5,  1,   SMA_JACK_END,     1342651,            ,            ,            ,P2
